,Transactions,Throughput (TPS),Latency (s),Gas Cost (ETH)
0,10,2.98,14.05,0.00759
1,50,4.65,14.46,0.00789
2,100,7.79,15.02,0.00827
3,200,17.5,15.98,0.00902
4,300,27.21,17.32,0.00977
5,400,32.34,18.65,0.01052
6,500,34.2,18.29,0.01127
